business_name,business_category,address,city,latitude,longitude,business_avg_rating,total_reviews_count,reviewer_name,review_rating,review_text,review_date,price_per_person,meal_type,detailed_atmosphere_rating,detailed_food_rating,detailed_service_rating,price_numeric_avg,year,month,day_of_week,hour,clean_review_text,sentiment_score
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Dhammike Rasnayake,5,"⸻

I had a lovely experience at Barista Wattala. The ambience is cozy and welcoming, making it a great spot to relax, catch up with friends, or even get some work done. The coffee is excellent with a rich flavor, and they also have a nice selection of snacks and light meals to complement your drink. The staff is very friendly and attentive, always serving with a smile. The place is clean and well-maintained, with comfortable seating. Parking is also conveniently available, which makes visits hassle-free. Overall, a perfect café in Wattala for anyone who enjoys good coffee and a pleasant atmosphere",2025-10-03 11:44:00,"Rs 2,000–3,000",Lunch,5,5,5,2500,2025,10,Friday,11,i had a lovely experience at barista wattala the ambience is cozy and welcoming making it a great spot to relax catch up with friends or even get some work done the coffee is excellent with a rich flavor and they also have a nice selection of snacks and light meals to complement your drink the staff is very friendly and attentive always serving with a smile the place is clean and wellmaintained with comfortable seating parking is also conveniently available which makes visits hasslefree overall a perfect café in wattala for anyone who enjoys good coffee and a pleasant atmosphere,0.486029411764706
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Samithu,4,Great place to get some work done with a tasty coffee To go with it,2025-09-20 08:25:00,"Rs 1,000–2,000",,4,4,4,1500,2025,9,Saturday,8,great place to get some work done with a tasty coffee to go with it,0.8
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Mohamed Asker,4,Small and cozy coffee shop if you're looking for a quick hot beverage and a small bite. Variety of hot and cold beverages to choose from. Tried a cappuccino and an iced latte which was decent. Staffs are very friendly and helpful in choosing your beverage.,2025-09-06 06:40:00,"Rs 1,000–2,000",Other,4,4,5,1500,2025,9,Saturday,6,small and cozy coffee shop if youre looking for a quick hot beverage and a small bite variety of hot and cold beverages to choose from tried a cappuccino and an iced latte which was decent staffs are very friendly and helpful in choosing your beverage,0.0208333333333334
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Ahas Nuradha,5,"I recently visited Barista - wattala branch and had a wonderful experience. I tried their cappuccino, which was smooth and perfectly balanced. The strawberry mojito was refreshing, with a nice fruity twist that felt really up lifting.

For food, I went with the Kochchi chicken burger and absolutely loved the flavorful spicy kick, especially with the pol sambol that gave it a true Sri Lankan touch. The baby shrimp sandwich was another standout – fresh, tasty, and very satisfying.

The service was friendly, and the atmosphere was cozy, making it a great spot to relax or catch up with friends. Overall, it was a fantastic visit with delicious food and drinks. Definitely a place I’d recommend and look forward to visiting again!",2025-08-28 09:21:00,"Rs 4,000–5,000",Brunch,5,5,5,4500,2025,8,Thursday,9,"i recently visited barista  wattala branch and had a wonderful experience i tried their cappuccino which was smooth and perfectly balanced the strawberry mojito was refreshing with a nice fruity twist that felt really up lifting

for food i went with the kochchi chicken burger and absolutely loved the flavorful spicy kick especially with the pol sambol that gave it a true sri lankan touch the baby shrimp sandwich was another standout  fresh tasty and very satisfying

the service was friendly and the atmosphere was cozy making it a great spot to relax or catch up with friends overall it was a fantastic visit with delicious food and drinks definitely a place id recommend and look forward to visiting again",0.37375
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Mohamed Rizny,5,,2025-08-26 16:24:00,,,4.6,4.6,4.6,,2025,8,Tuesday,16,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Tharusha Dulanjana,5,"A barista can be said to be an expert in the art of coffee  It's a great pleasure to have employees who help develop that art. It's a great pleasure to have employees like Kavishka, Jithma, Venusto, Kevin, and Roshen working at the Wattala outlet.

The food is excellent, prepared in a way that is appropriate for the customers. Each of their dishes is fresh and I believe that there is no shortage in the food they prepare.",2025-08-21 17:12:00,,,5,5,5,,2025,8,Thursday,17,"a barista can be said to be an expert in the art of coffee  its a great pleasure to have employees who help develop that art its a great pleasure to have employees like kavishka jithma venusto kevin and roshen working at the wattala outlet

the food is excellent prepared in a way that is appropriate for the customers each of their dishes is fresh and i believe that there is no shortage in the food they prepare",0.68
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Jawad Perera,5,"Great vibes, tasty coffee, and amazing crew.",2025-08-21 13:24:00,,,5,5,5,,2025,8,Thursday,13,great vibes tasty coffee and amazing crew,0.7
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Eshan Dananjaya,5,This Barista is Highly recommended! The food was good but the Service was next level. Really appreciate it . Keep it up boys,2025-08-21 13:24:00,,,5,5,5,,2025,8,Thursday,13,this barista is highly recommended the food was good but the service was next level really appreciate it  keep it up boys,0.265
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Rodrigo Diego,5,"I love this outlet . It's the best ! Specially the Staff , it's really exceptional! I love the staff as they are the best Customer service provider . He is really the best ! Keep it up boys!",2025-08-21 13:23:00,,,4.6,4.6,4.6,,2025,8,Thursday,13,i love this outlet  its the best  specially the staff  its really exceptional i love the staff as they are the best customer service provider  he is really the best  keep it up boys,0.652976190476191
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,DEW,5,The service was really exceptionally good ! Staff was one of the friendliest and the best staffs I have met. I really love there service . Looking forward to visit again,2025-08-21 13:22:00,,,5,5,5,,2025,8,Thursday,13,the service was really exceptionally good  staff was one of the friendliest and the best staffs i have met i really love there service  looking forward to visit again,0.733333333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sadew Munasinghe,5,One of the best Baristas in Sri lanka ! The key fact is exceptional service . It made me really amazed to hear that they were the first barista . They were with the best vibe as well . One of the best guys . Highly recommended,2025-08-21 13:22:00,,,5,5,5,,2025,8,Thursday,13,one of the best baristas in sri lanka  the key fact is exceptional service  it made me really amazed to hear that they were the first barista  they were with the best vibe as well  one of the best guys  highly recommended,0.534583333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Erennn,4,"Amazing service! The crew was super friendly and welcoming, making the whole experience so much better. Great coffee, even greater staff!",2025-08-21 13:03:00,,,5,4,5,,2025,8,Thursday,13,amazing service the crew was super friendly and welcoming making the whole experience so much better great coffee even greater staff,0.472619047619048
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sadew Chamuditha,5,"I had such a great experience at this place. The food was delicious, but what really made the visit special was the crew. A big appreciation to Jithma and the rest of the staff for their warm, attentive, and professional service. They made sure everything was perfect from start to finish. Their hospitality and teamwork truly elevated the whole dining experience. Highly recommend this place!",2025-08-21 12:45:00,,,5,5,5,,2025,8,Thursday,12,i had such a great experience at this place the food was delicious but what really made the visit special was the crew a big appreciation to jithma and the rest of the staff for their warm attentive and professional service they made sure everything was perfect from start to finish their hospitality and teamwork truly elevated the whole dining experience highly recommend this place,0.409010989010989
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sandew Munasinghe,5,"The service was Really Good ! I really appreciate the Customer service , Jithma was the Person who helped me with everything. He is a really great guy .",2025-08-21 09:11:00,"Rs 4,000–5,000",,5,5,5,4500,2025,8,Thursday,9,the service was really good  i really appreciate the customer service  jithma was the person who helped me with everything he is a really great guy,0.566666666666667
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Prabhashini Manawardhana,5,A calm and inviting atmosphere with excellent service. The pistachio cake is an absolute standout and highly recommended.,2025-08-19 14:44:00,"Rs 4,000–5,000",,5,5,5,4500,2025,8,Tuesday,14,a calm and inviting atmosphere with excellent service the pistachio cake is an absolute standout and highly recommended,0.415
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Dilshan Hettiarachchi,1,"The service was very unprofessional. Staff were laughing, joking, and behaving childishly instead of focusing on customers. Orders were delayed, and when asked, no one seemed to know who was responsible — just pointing fingers at each other. There was no proper system or discipline, which made the whole place feel chaotic and poorly managed. Definitely not what you’d expect from a proper restaurant.",2025-08-17 10:28:00,"Rs 1,000–2,000",Other,2,4,1,1500,2025,8,Sunday,10,the service was very unprofessional staff were laughing joking and behaving childishly instead of focusing on customers orders were delayed and when asked no one seemed to know who was responsible  just pointing fingers at each other there was no proper system or discipline which made the whole place feel chaotic and poorly managed definitely not what youd expect from a proper restaurant,-0.0138888888888889
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sheron Nethminda,5,"Hey there! As an entrepreneur juggling a wild mix of investments, I’m always chasing that chill vibe where I can kick back and sip a coffee with a buddy or a cool stranger I meet at a café. It’s my thing—grabbing a cuppa in random cities around the world, just soaking in the moment. But in Sri Lanka? Man, it was tough to find that perfect spot... until Barista Sri Lanka came into my life!

The Wattala branch, right by my place, has totally become my daily hangout. The crew there? Absolute legends. They’re serving up next-level vibes with smiles that make you feel right at home. Big shoutout to Thishan, Kevin,Ashen & Shehani—these guys are killing it with their energy and making every visit feel like I’m at some hip café abroad.

Cheers to Barista Sri Lanka for bringing that global coffee culture to our shores. Let’s keep the good times brewing and build an epic crew of coffee lovers right here in SL!",2025-08-14 10:40:00,,,5,5,5,,2025,8,Thursday,10,"hey there as an entrepreneur juggling a wild mix of investments im always chasing that chill vibe where i can kick back and sip a coffee with a buddy or a cool stranger i meet at a café its my thinggrabbing a cuppa in random cities around the world just soaking in the moment but in sri lanka man it was tough to find that perfect spot until barista sri lanka came into my life

the wattala branch right by my place has totally become my daily hangout the crew there absolute legends theyre serving up nextlevel vibes with smiles that make you feel right at home big shoutout to thishan kevinashen  shehanithese guys are killing it with their energy and making every visit feel like im at some hip café abroad

cheers to barista sri lanka for bringing that global coffee culture to our shores lets keep the good times brewing and build an epic crew of coffee lovers right here in sl",0.151140873015873
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Rashmi Subasingha,5,"Great service i ever had in barista
Good job kevin",2025-08-07 11:27:00,"Rs 2,000–2,500",,5,5,5,2250,2025,8,Thursday,11,"great service i ever had in barista
good job kevin",0.75
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Minul Bimsara,5,Very satisfied service and very friendly especially kevin who served us,2025-08-07 11:25:00,"Rs 4,500–5,000",,5,5,5,4750,2025,8,Thursday,11,very satisfied service and very friendly especially kevin who served us,0.379166666666667
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Chamendra Wimalasena,5,Great place to get a quick coffee and grab a small snack.,2025-07-29 04:29:00,,,5,5,5,,2025,7,Tuesday,4,great place to get a quick coffee and grab a small snack,0.294444444444445
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Senudi Methaya,4,,2025-07-27 12:24:00,"Rs 1,500–2,000",Other,5,5,2,1750,2025,7,Sunday,12,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Oshani Bastian,4,"I think the Lemongrass rice needs more improvement. Other than that, the service and the ambiance were great!",2025-07-26 16:08:00,"Rs 3,500–4,000",Lunch,5,4,5,3750,2025,7,Saturday,16,i think the lemongrass rice needs more improvement other than that the service and the ambiance were great,0.391666666666667
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Tharuka Madumal Bogahawatta,5,,2025-07-22 03:44:00,,,4.6,4.6,4.6,,2025,7,Tuesday,3,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sheno Elsha,5,Perfect for coffee lovers who want to learn what happens behind the scene,2025-07-19 17:38:00,"Rs 4,000–4,500",Other,5,5,5,4250,2025,7,Saturday,17,perfect for coffee lovers who want to learn what happens behind the scene,0.3
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Nethu,5,Had a great time at wattala barista. They gave us a excellent customer service. They were really helpful  good service and friendly staff ,2025-07-13 07:12:00,"Rs 1,500–2,000",Breakfast,5,5,5,1750,2025,7,Sunday,7,had a great time at wattala barista they gave us a excellent customer service they were really helpful  good service and friendly staff,0.615
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Geethmi Shaleesha,5,Thank you barista for the nice atmosphere and also the food and beverages. Had a really nice time.,2025-07-13 06:47:00,"Rs 3,500–4,000",Brunch,5,5,5,3750,2025,7,Sunday,6,thank you barista for the nice atmosphere and also the food and beverages had a really nice time,0.6
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sami Mendis,5,,2025-07-10 18:15:00,,,4.6,4.6,4.6,,2025,7,Thursday,18,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,nehem rashane,5,Ts goated tbh,2025-07-09 06:42:00,,,5,4,5,,2025,7,Wednesday,6,ts goated tbh,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Shohan Perera,5,"I regularly visit the Wattala outlet and always receive wonderful service. Mr. Kevin provides exceptional customer care, and the entire Wattala team is outstanding. Highly recommend this branch",2025-07-09 06:23:00,"Rs 1,500–2,000",Other,5,5,5,1750,2025,7,Wednesday,6,i regularly visit the wattala outlet and always receive wonderful service mr kevin provides exceptional customer care and the entire wattala team is outstanding highly recommend this branch,0.387777777777778
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,graj,5,Friendly and polite,2025-07-09 05:01:00,,Brunch,5,5,5,,2025,7,Wednesday,5,friendly and polite,0.375
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Madhu Araan,5,One of the best Barista outlets to hang out. Staffs are really cool and kind. Food is always fresh. Place is clean,2025-07-03 15:37:00,"Rs 3,500–4,000",Dinner,5,5,5,3750,2025,7,Thursday,15,one of the best barista outlets to hang out staffs are really cool and kind food is always fresh place is clean,0.523333333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Dahami Vihanga,5,Good service ,2025-07-01 04:06:00,,,5,5,5,,2025,7,Tuesday,4,good service,0.7
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Malaika Maas,5,Loved the vibe and coffee here! ❤️,2025-07-01 03:47:00,"Rs 1,500–2,000",Brunch,5,5,5,1750,2025,7,Tuesday,3,loved the vibe and coffee here,0.7
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Shan,5,,2025-06-30 19:07:00,,,4.6,4.6,4.6,,2025,6,Monday,19,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,A J,1,"Paid 1500+ for a Nutella shake yesterday that barely had an Nutella. Had to wait a very long time till they made it only for it to be mediocre. Nice place, but not worth the price or wait.",2025-06-30 02:29:00,"Rs 1,000–1,500",Other,5,1,1,1250,2025,6,Monday,2,paid 1500 for a nutella shake yesterday that barely had an nutella had to wait a very long time till they made it only for it to be mediocre nice place but not worth the price or wait,-0.0108333333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Tharindu Jayawardana,5,Exceptional,2025-06-28 13:47:00,"Rs 1,000–1,500",Brunch,5,5,5,1250,2025,6,Saturday,13,exceptional,0.666666666666667
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,dilshan sellahewa,5,"Barista Wattala Diner has become my go-to daily spot and for good reasons. Whether you’re here to work, unwind, or catch up with friends, this place delivers on every front.

First off – Adrian. He’s a standout! (GEM as his badge says)  Always welcoming, attentive, and genuinely cares about each guest’s experience. His service alone makes every visit feel personalized. It's rare to find someone who remembers your regular order and checks in to make sure everything's perfect Adrian does that with ease.

 Budget-friendly? Absolutely. Great options that don’t break the bank, and the portion sizes are just right. You can grab a quality drink or snack without a second thought.

☕️ The menu is vast. From strong espresso shots to smooth frappés and creative seasonal blends there's always something new to try.

 Work-friendly? 100%. With accessible charging outlets, decent Wi-Fi, and a calm vibe, it’s a fantastic remote work or study hub. I’ve spent countless hours here with my laptop  and it never feels rushed or loud.

If you're in Wattala and haven’t dropped by Barista yet you’re missing out..",2025-06-25 09:03:00,,,4,4,5,,2025,6,Wednesday,9,"barista wattala diner has become my goto daily spot and for good reasons whether youre here to work unwind or catch up with friends this place delivers on every front

first off  adrian hes a standout gem as his badge says  always welcoming attentive and genuinely cares about each guests experience his service alone makes every visit feel personalized its rare to find someone who remembers your regular order and checks in to make sure everythings perfect adrian does that with ease

 budgetfriendly absolutely great options that dont break the bank and the portion sizes are just right you can grab a quality drink or snack without a second thought

 the menu is vast from strong espresso shots to smooth frappés and creative seasonal blends theres always something new to try

 workfriendly 100 with accessible charging outlets decent wifi and a calm vibe its a fantastic remote work or study hub ive spent countless hours here with my laptop  and it never feels rushed or loud

if youre in wattala and havent dropped by barista yet youre missing out",0.271041458541459
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Vindya Alahakoon,5,Cozy and comfortable place with friendly staff who’s very attentive.,2025-06-20 03:23:00,,,5,5,5,,2025,6,Friday,3,cozy and comfortable place with friendly staff whos very attentive,0.27375
